NOMBRE,DIRECCIÓN,C.P.,Tipo de alojamiento,PLAZAS
ABASTOS,"Calle Alberique 19, Valencia",46008,Hostal,29
ABBA ACTEON,"Calle VICENTE BELTRAN GRIMAL 002, Valencia",46023,Hotel,358
ABC YOU,"Calle Taquígrafo Martí 10, Valencia",46005,Pensión,4
AC HOTEL COLON,"Calle Colón 6, Valencia",46004,Hotel,181
AC HOTEL VALENCIA,"Avenida FRANCIA 67, Valencia",46023,Hotel,277
ACCOM HOSTEL PALACIOS,"Calle DAOIZ Y VELARDE 6, Valencia",46021,Pensión,28
AD HOC CARMEN,"Calle Samaniego 20, Valencia",46003,Hotel,58
AD HOC MONUMENTAL,"Calle BOIX 4, Valencia",46003,Hotel,51
ALAMEDA PLAZA,"Paseo ALAMEDA 38, Valencia",46023,Hotel,406
ALICANTE,"Calle Ribera, 8 Planta 2, Valencia",46002,Pensión,31
ALKAZAR,"Calle Mosen Femades 11, Valencia",46002,Hotel,30
ANDRES,"Calle Anguilera 7, Valencia",46012,Hostal,52
ANTIGUA MORELLANA,"Calle En Bou 2, Valencia",46001,Hostal,36
ATARAZANAS,"Plaza TRIBUNAL DE LAS AGUAS 5, Valencia",46011,Hotel,67
AYRE HOTEL ASTORIA PALACE,"Plaza RODRIGO BOTET 5, Valencia",46002,Hotel,401
B&B HI VALENCIA BOUTIQUE,"Plaza ALFONSO EL MAGNANIMO 1, Valencia",46003,Pensión,32
B&B HI VALENCIA CANOVAS,"Calle Cirilo Amorós 82, Valencia",46004,Pensión,8
B&B VALENCIA CIUDAD DE LASCIENCIAS,"Avenida Ausias March 99, Valencia",46013,Hotel,179
BALANDRET,"Paseo Neptuno 20, Valencia",46011,Hotel,42
BALCÓN AL MAR,"Calle Juan Jose Sister 1, Valencia",46024,Pensión,
BARCELÓ VALENCIA,"Avenida FRANCIA 11, Valencia",46023,Hotel,378
BARCELONA,"Calle SAN JOSE DE CALASANZ 20, Valencia",46008,Pensión,140
BELERET,"Calle CAMPAMENTO 76, Valencia",46035,Hotel,19
BISBAL,"Calle Pie de la Cruz 9, Valencia",46001,Hostal,19
BLAYET,"Avenida GAVIOTAS 17, Valencia",46012,Hostal,544
CAROHOTEL PALACIO MARQUESDE CARO,"Calle Almirante 14, Valencia",46003,Hotel,45
CASABLANCA,"Calle PEDRO DE LUNA 3, Valencia",46017,Pensión,81
CASUAL VALENCIA DE LA MUSICA,"Calle PADILLA 4, Valencia",46001,Hotel,71
CASUAL VALENCIA DE LAS ARTES,"Avenida PUERTO 39, Valencia",46021,Hotel,91
CASUAL VALENCIA DE LASCIVILIZACIONES,"Calle Doctor Marco Merenciano 3, Valencia",46025,Hostal,26
CASUAL VALENCIA DEL CINE,"Calle Convento de San Francisco 7, Valencia",46002,Hotel,66
CASUAL VALENCIA VINTAGE,"Calle BARCELONINA 1, Valencia",46002,Hotel,143
CATALONIA EXCELSIOR,"Calle BARCELONINA 5, Valencia",46002,Hotel,161
CATHEDRAL SUITES HOTEL,"Calle CABILLERS 3, Valencia",46003,Hotel,42
CHICOTE,"Avenida De Neptuno 34, Valencia",46011,Hotel,35
CITY GARDEN B&B,"Calle GENERAL PRIM 1, Valencia",46005,Pensión,13
CONTINENTAL,"Calle Correos 8, Valencia",46002,Hotel,75
CREATIVE ROOMS,"Plaza AYUNTAMIENTO 7, Valencia",46001,Hostal,26
DEL CARMEN,"Calle Blanquerias 11, Valencia",46002,Hostal,54
DIMAR,"Avenida GRAN VIA MARQUES DELTURIA 80, Valencia",46005,Hotel,189
